"ogs"	"tax"	"HI_prev"	"LO_prev"	"pval"	"effect"	"Zscore"	"annot"
"ko:K04486"	"f__Bacteroidaceae"	0.961538461538462	0.0114285714285715	2.83530916362443e-45	5.50266353209554	14.1206088833496	"E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]"
"ko:K02651"	"f__Bacteroidaceae"	0.923076923076923	0.0114285714285715	6.80313965498613e-42	5.4443884434285	13.561181465021	"flp, pilA; pilus assembly protein Flp/PilA"
"ko:K19290"	"f__Bacteroidaceae"	0.826923076923077	0	7.66639467729199e-38	6.38702312310925	12.8588958285825	"alg8; mannuronan synthase [EC:2.4.1.33]"
"ko:K01151"	"f__Bacteroidaceae"	0.865384615384615	0.0171428571428572	2.52555932529319e-36	5.01127253277951	12.5858665694135	"nfo; deoxyribonuclease IV [EC:3.1.21.2]"
"ko:K01273"	"f__Bacteroidaceae"	0.134615384615385	0.982857142857143	2.52555932529319e-36	-2.77936511201672	-12.5858665694135	"DPEP; membrane dipeptidase [EC:3.4.13.19]"
"ko:K01274"	"f__Bacteroidaceae"	0.134615384615385	0.982857142857143	2.52555932529319e-36	-2.77936511201672	-12.5858665694135	"pepV; beta-Ala-Xaa dipeptidase [EC:3.4.13.-]"
"ko:K06890"	"f__Bacteroidaceae"	0.0192307692307692	0.914285714285714	6.07626473901097e-36	-4.98277918463241	-12.5163541996287	"K06890; uncharacterized protein"
"ko:K07175"	"f__Bacteroidaceae"	0.961538461538462	0.0742857142857143	1.9703580306645e-35	3.52691107834222	12.4226064491008	"phoH2; PhoH-like ATPase"
"ko:K15640"	"f__Bacteroidaceae"	0.0192307692307692	0.908571428571429	2.52896355365035e-35	-4.97383220996785	-12.4026263845083	"K15640, phoE; uncharacterized phosphatase"
"ko:K09121"	"f__Bacteroidaceae"	0.884615384615385	0.04	7.6851032268684e-34	4.16126756844476	12.1260687405212	"larC; pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]"
"ko:K09796"	"f__Bacteroidaceae"	0.884615384615385	0.04	7.6851032268684e-34	4.16126756844476	12.1260687405212	"pccA; periplasmic copper chaperone A"
"ko:K15634"	"f__Bacteroidaceae"	0.0384615384615385	0.908571428571429	1.55275261393711e-33	-4.24447979991152	-12.0683181761364	"gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
